"country_region (S)","province_state (S)","latitude (S)","longitude (S)"
"Australia","Australian Capital Territory","-35.4735","149.0124"
"Australia","From Diamond Princess","35.4437","139.638"
"Australia","New South Wales","-33.8688","151.2093"
"Australia","Northern Territory","-12.4634","130.8456"
"Australia","Queensland","-28.0167","153.4"
"Australia","South Australia","-34.9285","138.6007"
"Australia","Tasmania","-41.4545","145.9707"
"Australia","Victoria","-37.8136","144.9631"
"Australia","Western Australia","nan","nan"
"China","Anhui","31.8257","117.2264"
"China","Beijing","40.1824","116.4142"
"China","Chongqing","30.0572","107.874"
"China","Fujian","26.0789","117.9874"
"China","Gansu","36.0611","103.8343"
"China","Guangdong","23.3417","113.4244"
"China","Guangxi","23.8298","108.7881"
"China","Guizhou","26.8154","106.8748"
"China","Hainan","19.1959","109.7453"
"China","Hebei","38.0428","114.5149"
"China","Heilongjiang","47.862","127.7615"
"China","Henan","33.882","113.61399999999999"
"China","Hong Kong","22.3","114.2"
"China","Hubei","30.9756","112.2707"
"China","Hunan","27.6104","111.7088"
"China","Inner Mongolia","44.0935","113.9448"
"China","Jiangsu","32.9711","119.455"
"China","Jiangxi","27.614","115.7221"
"China","Jilin","43.6661","126.1923"
"China","Liaoning","41.2956","122.6085"
"China","Macau","22.1667","113.55"
"China","Ningxia","37.2692","106.1655"
"China","Qinghai","35.7452","95.9956"
"China","Shaanxi","35.1917","108.8701"
"China","Shandong","36.3427","118.1498"
"China","Shanghai","31.202","121.4491"
"China","Shanxi","37.5777","112.2922"
"China","Sichuan","30.6171","102.7103"
"China","Tianjin","39.3054","117.323"
"China","Tibet","31.6927","88.0924"
"China","Xinjiang","41.1129","85.2401"
"China","Yunnan","24.974","101.48700000000001"
"China","Zhejiang","29.1832","120.0934"
"United Kingdom","Anguilla","18.2206","-63.0686"
"United Kingdom","Bermuda","32.3078","-64.7505"
"United Kingdom","British Virgin Islands","18.4207","-64.64"
"United Kingdom","Cayman Islands","19.3133","-81.2546"
"United Kingdom","Channel Islands","49.372284","-2.364351"
"United Kingdom","England","52.3555","-1.1743"
"United Kingdom","Falkland Islands (Malvinas)","-51.7963","-59.5236"
"United Kingdom","Gibraltar","36.1408","-5.3536"
"United Kingdom","Isle of Man","54.2361","-4.5481"
"United Kingdom","Montserrat","16.742498","-62.187366000000004"
"United Kingdom","Northern Ireland","54.7877","-6.4923"
"United Kingdom","Scotland","56.4907","-4.2026"
"United Kingdom","Turks and Caicos Islands","21.694000000000006","-71.7979"
"United Kingdom","United Kingdom","55.3781","-3.436"
"United Kingdom","Unknown","nan","nan"
"United Kingdom","Wales","52.1307","-3.7837"
