"country_region (S)","date (S)","active (N)","confirmed (N)","deaths (N)"
"China","2020-03-11","0","80921","3161"
"China","2020-03-12","0","80932","3172"
"China","2020-03-13","0","80945","3180"
"China","2020-03-14","0","80977","3193"
"China","2020-03-15","0","81003","3203"
"China","2020-03-16","0","81033","3217"
"China","2020-03-17","0","81058","3230"
"China","2020-03-18","0","81102","3241"
"China","2020-03-19","0","81156","3249"
"China","2020-03-20","0","81250","3253"
"China","2020-03-21","0","81305","3259"
"China","2020-03-22","5770","81397","3265"
"China","2020-03-23","5403","81496","3274"
"China","2020-03-24","5036","81591","3281"
"China","2020-03-25","4609","81661","3285"
"China","2020-03-26","4316","81782","3291"
"China","2020-03-27","3887","81897","3296"
"China","2020-03-28","3606","81999","3299"
"China","2020-03-29","3242","82122","3304"
"China","2020-03-30","2973","82198","3308"
"China","2020-03-31","2770","82279","3309"
"China","2020-04-01","2646","82361","3316"
"China","2020-04-02","2545","82432","3322"
"China","2020-04-03","2425","82511","3326"
"China","2020-04-04","2267","82543","3330"
"China","2020-04-05","2062","82602","3333"
"China","2020-04-06","2020","82665","3335"
"China","2020-04-07","1973","82718","3335"
"China","2020-04-08","1905","82809","3337"
"China","2020-04-09","1865","82883","3339"
"China","2020-04-10","1810","82941","3340"
"China","2020-04-11","1794","83014","3343"
"China","2020-04-12","1835","83134","3343"
"China","2020-04-13","1829","83213","3345"
"China","2020-04-14","1761","83306","3345"
"China","2020-04-15","1699","83356","3346"
"China","2020-04-16","1656","83403","3346"
"China","2020-04-17","1572","83760","4636"
"China","2020-04-18","1537","83787","4636"
"China","2020-04-19","1479","83805","4636"
"China","2020-04-20","1436","83817","4636"
"China","2020-04-21","1418","83853","4636"
"China","2020-04-22","1371","83868","4636"
"China","2020-04-23","1265","83884","4636"
"China","2020-04-24","1154","83899","4636"
"China","2020-04-25","1098","83909","4636"
"China","2020-04-26","998","83912","4637"
"China","2020-04-27","907","83918","4637"
"China","2020-04-28","881","83940","4637"
"China","2020-04-29","833","83944","4637"
"China","2020-04-30","796","83956","4637"
"China","2020-05-01","749","83959","4637"
"China","2020-05-02","736","83959","4637"
"China","2020-05-03","643","83964","4637"
"China","2020-05-04","537","83966","4637"
"China","2020-05-05","461","83968","4637"
"China","2020-05-06","404","83970","4637"
"China","2020-05-07","361","83975","4637"
"China","2020-05-08","346","83976","4637"
"China","2020-05-09","226","83990","4637"
"China","2020-05-10","206","84010","4637"
"China","2020-05-11","176","84011","4637"
"China","2020-05-12","159","84018","4637"
"China","2020-05-13","141","84024","4637"
"China","2020-05-14","131","84029","4637"
"China","2020-05-15","120","84038","4637"
"China","2020-05-16","113","84044","4638"
"China","2020-05-17","110","84054","4638"
"China","2020-05-18","115","84063","4638"
"China","2020-05-19","115","84063","4638"
"China","2020-05-20","115","84063","4638"
"China","2020-05-21","115","84063","4638"
"China","2020-05-22","111","84081","4638"
"China","2020-05-23","111","84084","4638"
"China","2020-05-24","114","84095","4638"
"China","2020-05-25","112","84102","4638"
"China","2020-05-26","107","84103","4638"
"China","2020-05-27","101","84106","4638"
"China","2020-05-28","97","84106","4638"
"China","2020-05-29","103","84123","4638"
"China","2020-05-30","104","84128","4638"
"China","2020-05-31","119","84146","4638"
"China","2020-06-01","118","84154","4638"
"China","2020-06-02","123","84161","4638"
"China","2020-06-03","118","84160","4638"
"China","2020-06-04","118","84171","4638"
"China","2020-06-05","119","84177","4638"
"China","2020-06-06","124","84186","4638"
"China","2020-06-07","119","84191","4638"
"China","2020-06-08","113","84195","4638"
"China","2020-06-09","109","84198","4638"
"China","2020-06-10","115","84209","4638"
"China","2020-06-11","114","84216","4638"
"China","2020-06-12","118","84228","4638"
"China","2020-06-13","173","84286","4638"
"China","2020-06-14","215","84335","4638"
"China","2020-06-15","251","84378","4638"
"China","2020-06-16","291","84422","4638"
"China","2020-06-17","310","84458","4638"
"China","2020-06-18","341","84494","4638"
